original question,fluent(something you could say in the languege),correct gramatically(correct way to answer the question),correct translation,references,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF
Aký je chemický vzorec vody?,1,1,1,Chemický vzorec vody je H₂O.,Vodný roztok sa vyjadruje pomocou vzorca H2O.,1-1-1,Aká je chemická formula vody?,Vodu vyjadrujeme pomocou chemickej formy H2O.,1-1-1,Aky je chemický vzorec vdy?,Vodík sa vyjadruje pomocou vzorca H2O.,1-0-1,Aký chemický vzorec označuje vodu?,Vodu označujeme pomocou chemického vzorca H2O.,1-1-1,What is chemický vzorec vody?,The chemical formula for water is H2O.,1-1-0
Aký je bod varu vody na hladine mora?,1,1,1,Bod varu vody je 100 °C.,Vodný bod varu na hladine mora je 100 stupňov Celzia a 212 stupňov Fahrenheita.,1-1-1,Aká je teplota varu vody na hladine mora?,Vodu na hladine mora varíme pri 100 stupňoch Celzia a 212 stupňoch Fahrenheita.,1-1-1,Aky je bod varu vodyna hladine mora?,Vodna hladina mora dosahuje bod varu pri 100 stupnoch Celzia a 212 stupnoch Fahrenheita.,0-1-1,Pri akej teplote začne voda vrieť na hladine mora?,Pri 100 stupňoch Celzia a 212 stupňoch Fahrenheita začne voda vrieť.,1-1-1,Aký je boiling point vody na hladine mora?,Vodný bod varu na hladine mora je 100 stupňov Celzia a 212 stupňov Fahrenheita.,1-1-1
Aké sú tri stavy hmoty?,1,1,1,"Tri základné skupenstvá hmoty sú: pevné, kvapalné a plynné.",- Pevné. - Tekutý. - Plazma.,1-0-1,Aké sú tri formy hmoty?,- Pevné. - Tekutina. - Plazma.,1-0-1,Aké sú tri stavy hmty?,- Pevné - Tekutý - Plazma,1-0-1,V akých troch skupenstvách sa môže nachádzať hmota?,"Môže existovať v pevnom, tekutom a plynnom stave.",1-1-1,Aké sú three states of hmota?,"Teplo, voda a plyn.",1-0-1
"Čo sa stane s vodou, keď dostatočne vychladne?",1,1,1,"Pri dostatočnom ochladení voda tuhne, teda mení sa z kvapalného skupenstva na pevné.","Keď sa voda dostatočne ochladí, stáva sa plynom.",1-0-1,"Čo sa udeje s vodou, keď veľmi ochladne?","Keď sa voda ochladí, stáva sa plynnou.",1-0-1,"Co sa stane s vodou, ked dostatocne vychladne?","Keď sa voda dostatočne ochladí, stáva sa plynom.",1-0-1," Čo sa deje s vodou, keď jej teplota klesne pod bod mrazu?","Keď sa voda ochladí, stáva sa plynnou.",1-0-1,"Čo sa stane with water, keď dostatočne vychladne?","Keď sa voda dostatočne vychladne, stáva sa plynom.",1-0-1
Aká je najmenšia jednotka hmoty?,1,1,1,Najmenšou chemicky nedeliteľnou časticou hmoty je atóm.,"Množstvo je najmenšia jednotka hmoty. Množstvo je definované ako množstvo všetkých hmotných hodnôt, ktoré môžu byť uložené v jednom mieste. Množstvo je tiež definované ako množstvo všetkých hmotných hodnôt, ktoré môžu byť uložené v jednom mieste. Množstvo je základnou jednotkou hmoty a je základnou jednotkou všetkých hmotných hodnôt. Je to tiež základnou jednotkou všetkých",1-0-1,Aká je najmenšia častica hmoty?,"Medzi najmenšie častice hmoty patria atómy, ktoré sú základnými jednotkami hmoty. Atómy sú malé a ľahko sa pohybujú, s hmotnosťou približne 1 - 1,5 hmotnosti. Sú tiež veľmi stabilné a môžu byť použité na vytvorenie rôznych tvarov a veľkostí. Medzi najčastejšie používané atómy patria proton a neutron. Proton je malý a ľahko sa pohybujúci atóm, ktorý",1-1-1,Aka je najmensia jednotka hmoty?,Jednotka hmoty je kilogram (kg).,1-0-1,"Ako sa nazýva najmenšia časť, z ktorej sa skladá hmota?",Molekula.,1-1-1,What is the najmenšia jednotka hmoty?,The atomic unit of matter is called a proton. A proton je najmenšia jednotka hmoty. Je to základná jednotka všetkých hmotných a pohyblivých častíc. Je to tiež základná jednotka energie. Atóm je tiež základná jednotka všetkých hmotných a pohyblivých častíc. Je to tiež základná jednotka energie. Atóm je tiež základná jednotka všetkých hmotných a pohyblivých častíc. Je to tiež základná jednotka,1-1-0
"Aký plyn dýchame, aby sme zostali nažive?",1,1,1,"Dýchame kyslík (O₂), ktorý je nevyhnutný pre život.",Oxygen.,1-1-0,"Ktorý plyn vdychujeme, aby sme prežili?",Oxygen (O2),1-1-0,"Aký pln dýchame, aby sme zostlai nažive?","Dýchame vzduch, aby sme zostali nažive.",1-1-1,Ktorý plyn je nevyhnutný pre náš život?,Ozón je nevyhnutný pre náš život.,1-1-1,"What gas dýchame, aby sme zostali alive?",Oxygen,1-1-0
"Aký je proces, pri ktorom sa kvapalina pod bodom varu mení na plyn?",1,1,1,Tento proces sa nazýva výpar.,Sublimácia,1-0-1,"Ako sa nazýva proces, keď sa tekutina zmení na plyn pod teplotou varu?",Sublimácia,1-0-1,"Aký je procces, pri ktorom sa kvaplina pod bodom varru mení na plyn?",Sublimácia,1-0-1,Ako sa volá premena kvapaliny na plyn pri nižšej teplote než je bod varu?,Sublimácia,1-0-1,Ako sa volá premena kvapaliny na plyn pri nižšej teplote než je bod varu?,Sublimácia,1-0-1
"Ako sa nazývajú častice, ktoré tvoria jadro atómu?",1,1,1,Jadro atómu tvorí protóny a neutróny.,Neutróny.,1-1-1,"Ako sa volajú častice, ktoré tvoria jadro atómu?",Neutróny.,1-1-1,"Ako sa nazívajú častice, ktoré tvorja jadro atómu?",Neutróny.,1-1-1,Z akých častíc sa skladá atómové jadro?,"Atómové jadro sa skladá z dvoch jadrových častíc - neutronov a protonov. Neutróny sú malé častice, ktoré sa pohybujú v určitom smere, zatiaľ čo protony sú malé častice, ktoré sa pohybujú v rovnakom smere. Atómové jadro je zodpovedné za štruktúru a funkciu atómu.",1-1-1,"Ako sa nazývajú particles, ktoré tvoria jadro atómu?",Neutróny.,1-1-1
Ako sa nazýva premena kvapaliny na pevnú látku?,1,1,1,Tento proces sa nazýva tuhnutie.,Sublimácia,1-0-1,Aký je názov zmeny kvapaliny na tuhú látku?,Sublimácia,1-0-1,Ako sa nazíva premena kvapaliiny na pevnú látku?,Sublimácia,1-0-1,Kedy sa z kvapaliny stane pevná látka a ako sa tento proces volá?,"Keď sa kvapalina stane pevným, hovoríme o kondenzácii.",1-1-1,"What is the process, keď sa liquid mení na pevnú látku?",Sublimácia,1-0-1
Aký je chemický vzorec kyslíka?,1,1,1,Chemický vzorec molekulárneho kyslíka je O₂.,Kyslík sa vyjadruje pomocou vzorca O.,1-1-1,Aký je chemický zápis kyslíka?,Kyslík sa vyjadruje pomocou chemického zápisu O.,1-1-1,Aký je chemicky vzorec kyslyka?,Kyslík sa vyjadruje pomocou vzorca H2O.,1-1-1,Ako zapíšeme kyslík pomocou chemického vzorca?,Kyslík sa vyjadruje pomocou vzorca O.,1-1-1,Aký je chemical formula kyslíka?,Kyslík sa vyjadruje pomocou chemickej formy O.,1-1-1
