title,context,question,answer,fluent(something you could say in the languege),correct answer,correct gramatically(correct way to answer the question),,,references,original question,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF
Konfederacja polsko-czechosłowacka,"Projekty konfederacji zaczęły się załamywać 5 sierpnia 1942. Ponownie wróciła kwestia monachijska, co uaktywniło się wymianą listów Ripka – Stroński. Natomiast 17 sierpnia 1942 doszło do spotkania E. Beneša i J. Masaryka z jednej a Wł. Sikorskiego i E. Raczyńskiego z drugiej strony. Polscy dyplomaci zaproponowali podpisanie układu konfederacyjnego. W następnym miesiącu, tj. 24 września, strona polska przesłała na ręce J. Masaryka projekt deklaracji o przyszłej konfederacji obu państw. Strona czechosłowacka projekt przyjęła, lecz już w listopadzie 1942 E. Beneš podważył ideę konfederacji. W zamian zaproponowano zawarcie układu sojuszniczego z Polską na 20 lat (formalnie nastąpiło to 20 listopada 1942).",Co było powodem powrócenia konceptu porozumieniu monachijskiego?,"{'text': ['wymianą listów Ripka – Stroński'], 'answer_start': [117]}",1,1,1,,,węgierski,Z jakiego kraju pochodzi János Steiner?,János Steiner pochodzi z Węgier.,1-1-1,Z którego państwa wywodzi się János Steiner?,Austria,1-0-1,Z jakiego kraji pochodzi János Steiner?,Z Węgier.,1-1-1,János Steiner – jaka jest jego ojczyzna?,János Steiner to węgierski filozof i nauczyciel.,0-0-1,Z jakiego country pochodzi János Steiner?,Z Węgier.,1-1-1
Konfederacja polsko-czechosłowacka,"Projekty konfederacji zaczęły się załamywać 5 sierpnia 1942. Ponownie wróciła kwestia monachijska, co uaktywniło się wymianą listów Ripka – Stroński. Natomiast 17 sierpnia 1942 doszło do spotkania E. Beneša i J. Masaryka z jednej a Wł. Sikorskiego i E. Raczyńskiego z drugiej strony. Polscy dyplomaci zaproponowali podpisanie układu konfederacyjnego. W następnym miesiącu, tj. 24 września, strona polska przesłała na ręce J. Masaryka projekt deklaracji o przyszłej konfederacji obu państw. Strona czechosłowacka projekt przyjęła, lecz już w listopadzie 1942 E. Beneš podważył ideę konfederacji. W zamian zaproponowano zawarcie układu sojuszniczego z Polską na 20 lat (formalnie nastąpiło to 20 listopada 1942).",Pomiędzy jakimi stronami odbyło się zgromadzenie w sierpniu 1942 roku?,"{'text': ['E. Beneša i J. Masaryka z jednej a Wł. Sikorskiego i E. Raczyńskiego'], 'answer_start': [197]}",0,1,0,,,w Chęcinach,Gdzie odbył się sejm zorganizowany przez ówczesnego władcę Polski w maju 1331 roku?,Sejm zorganizowany przez ówczesnego władcę Polski w maju 1331 roku odbył się w Sandomierzu.,1-0-1,W jakim miejscu miał miejsce sejm zwołany przez ówczesnego władcę Polski w maju 1331 roku?,Sejm zwołany przez ówczesnego władcę Polski w maju 1331 roku miał miejsce w Sandomierzu.,1-0-1,Gdzie odbył sie sejm zorganizowany przez ówczesnego władce Polski w maju 1331 roku?,Sejm zorganizowany przez ówczesnego władce Polski w maju 1331 roku odbył się w Sandomierzu.,1-0-1,W jakiej lokalizacji odbył się sejm zwołany przez polskiego władcę w maju 1331 roku?,W Krakowie.,1-0-1,Where odbył się sejm zorganizowany przez ówczesnego ruler Polski w maju 1331 roku?,Sejm zorganizowany przez ówczesnego ruler Polski w maju 1331 roku odbył się w Sandomierzu.,0-0-1
Konfederacja polsko-czechosłowacka,"Projekty konfederacji zaczęły się załamywać 5 sierpnia 1942. Ponownie wróciła kwestia monachijska, co uaktywniło się wymianą listów Ripka – Stroński. Natomiast 17 sierpnia 1942 doszło do spotkania E. Beneša i J. Masaryka z jednej a Wł. Sikorskiego i E. Raczyńskiego z drugiej strony. Polscy dyplomaci zaproponowali podpisanie układu konfederacyjnego. W następnym miesiącu, tj. 24 września, strona polska przesłała na ręce J. Masaryka projekt deklaracji o przyszłej konfederacji obu państw. Strona czechosłowacka projekt przyjęła, lecz już w listopadzie 1942 E. Beneš podważył ideę konfederacji. W zamian zaproponowano zawarcie układu sojuszniczego z Polską na 20 lat (formalnie nastąpiło to 20 listopada 1942).",O co ubiegali się polscy przedstawiciele podczas spotkania z sierpnia 1942 roku?,"{'text': ['podpisanie układu konfederacyjnego'], 'answer_start': [315]}",1,1,1,,,wojny znanej z bitwy pod Płowcami,Jaki temat poruszany był na sejmie wyznaczonym przez Władysława I Łokietka 26 maja 1331 roku?,"Sejm był odpowiedzialny za sprawy gospodarcze, polityczne i religijne Polski.",1-0-1,Jakie zagadnienie było omawiane na sejmie zwołanym przez Władysława I Łokietka 26 maja 1331 roku?,O przyszłości Polski.,1-0-1,Jaki temat poruszany był na sejmie wyznaczonym przez Władysława I Łokietka 26 majaa 1331 roku?,O granicach Polski.,1-0-1,Co było przedmiotem obrad sejmu zwołanego przez Władysława I Łokietka w maju 1331?,W maju 1331 roku Sejm zwołany przez Władysława I Łokietka miał na celu ustanowienie rządu oraz ustanowienie prawa jazdy.,1-0-1,What temat był poruszany na sejmie wyznaczonym przez Władysława I Łokietka 26 maja 1331 roku?,Statuty kościelne,1-0-1
Konfederacja polsko-czechosłowacka,"Projekty konfederacji zaczęły się załamywać 5 sierpnia 1942. Ponownie wróciła kwestia monachijska, co uaktywniło się wymianą listów Ripka – Stroński. Natomiast 17 sierpnia 1942 doszło do spotkania E. Beneša i J. Masaryka z jednej a Wł. Sikorskiego i E. Raczyńskiego z drugiej strony. Polscy dyplomaci zaproponowali podpisanie układu konfederacyjnego. W następnym miesiącu, tj. 24 września, strona polska przesłała na ręce J. Masaryka projekt deklaracji o przyszłej konfederacji obu państw. Strona czechosłowacka projekt przyjęła, lecz już w listopadzie 1942 E. Beneš podważył ideę konfederacji. W zamian zaproponowano zawarcie układu sojuszniczego z Polską na 20 lat (formalnie nastąpiło to 20 listopada 1942).",Który z dyplomatów sprzeciwił się konceptowi konfederacji w listopadzie '42?,"{'text': ['E. Beneš'], 'answer_start': [558]}",1,1,1,,,"osobna izba sejmowa, będąca reprezentacją szlachty wybraną na sejmikach ziemskich",Czym była izba poselska powołana do życia pod koniec piętnastego wieku?,Parlament stanowiący władzę ustawodawczą w kraju.,0-0-1,Jaką funkcję pełniła izba poselska utworzona pod koniec XV wieku?,Funkcją izby poselskiej utworzonej pod koniec XV wieku było stanowienie władzy ustawodawczej i wykonawczej w Rzeczypospolitej Polskiej.,1-0-1,Czym była izba poselska powołanaa do życia pod koniec piętnastego wieku?,Parlament rzymskokatolicki,0-0-1,Co to była izba poselska założona pod koniec piętnastego wieku?,Parlament angielski,1-0-1,What była izba poselska powołana do życia at the end of XV wieku?,The Polish House of Sejm,1-1-0
Pomilio PD/PE,"Samoloty Pomilio PD weszły na wyposażenie jednostek bojowych i zarazem do walki od lipca 1917 roku. Pierwsze otrzymały je w tym miesiącu eskadry (Squadriglia) nr 131 i 132, gdzie zastąpiły Pomilio PC. Do działań wchodziły następnie kolejne nowo formowane eskadry Pomilio: 133 (we wrześniu), 134 (w październiku), 135 (w styczniu 1918 roku), 136 (w maju 1918 roku). Eskadra 139, sformowana z dwóch sekcji początkowo przydzielonych do lotnictwa Marynarki (od sierpnia 1917 roku), weszła do działań w styczniu 1918 roku, a w czerwcu odznaczyła się w bitwie nad Piawą, zrzucając 175 bomb. W bitwie tej brały udział też inne eskadry. Model PD został szybko zastąpiony w jednostkach przez PE i skierowany głównie do szkolenia.",Co wchodziło w skład eskadry 139?,"{'text': ['dwóch sekcji początkowo przydzielonych do lotnictwa Marynarki'], 'answer_start': [391]}",1,1,1,,,1957,"W którym roku zadebiutował Tytus, Romek i ATomek?",Rok 1989,0-0-1,"Kiedy po raz pierwszy ukazał się Tytus, Romek i A'Tomek?",Wrzesień 2000,1-0-1,"W ktorym roku zadebiutował Tytus, Romek i ATomek?",Rok 2000,0-0-1,"W jakim roku nastąpił debiut Tytusa, Romka i A'Tomka?",Rok 2000,1-0-1,"In którym year zadebiutował Tytus, Romek i ATomek?",Rok 1989,0-0-1
Pomilio PD/PE,"Samoloty Pomilio PD weszły na wyposażenie jednostek bojowych i zarazem do walki od lipca 1917 roku. Pierwsze otrzymały je w tym miesiącu eskadry (Squadriglia) nr 131 i 132, gdzie zastąpiły Pomilio PC. Do działań wchodziły następnie kolejne nowo formowane eskadry Pomilio: 133 (we wrześniu), 134 (w październiku), 135 (w styczniu 1918 roku), 136 (w maju 1918 roku). Eskadra 139, sformowana z dwóch sekcji początkowo przydzielonych do lotnictwa Marynarki (od sierpnia 1917 roku), weszła do działań w styczniu 1918 roku, a w czerwcu odznaczyła się w bitwie nad Piawą, zrzucając 175 bomb. W bitwie tej brały udział też inne eskadry. Model PD został szybko zastąpiony w jednostkach przez PE i skierowany głównie do szkolenia.",Jaki model zastąpił samoloty Pomilio PD?,"{'text': ['PE'], 'answer_start': [683]}",1,1,1,,,"Walker zginął w czasie, kiedy nie zakończono jeszcze zdjęć do Szybkich i wściekłych 7",Czy Walker zmarł w trakcie nagrań realizacji filmowej?,"Tak, oto odpowiedź: Tak.",0-1-1,Czy Walker odszedł podczas prac nad filmem?,"Oczywiście bardziej skomplikowana wersja zdania brzmi: ""Walker odszedł podczas prac nad filmem, ale jego żona została uratowana przez jego brata, który został zabity przez jego brata"".",0-0-1,Czy Walker zmarł w trakcie nagrań realizacjii filmowej?,"Tak, rzeczywiście.",1-1-1,Czy śmierć Walkera nastąpiła podczas produkcji filmu?,"Nie, nie. Walker zmarł w wyniku wypadku samochodowego podczas produkcji filmu ""The Equalizer"".",0-0-1,Did Walker zmarł during nagrań realizacji filmowej?,"Nie, nie. Walker zmarł podczas nagrań do filmu.",0-0-1
Pomilio PD/PE,"Samoloty Pomilio PD weszły na wyposażenie jednostek bojowych i zarazem do walki od lipca 1917 roku. Pierwsze otrzymały je w tym miesiącu eskadry (Squadriglia) nr 131 i 132, gdzie zastąpiły Pomilio PC. Do działań wchodziły następnie kolejne nowo formowane eskadry Pomilio: 133 (we wrześniu), 134 (w październiku), 135 (w styczniu 1918 roku), 136 (w maju 1918 roku). Eskadra 139, sformowana z dwóch sekcji początkowo przydzielonych do lotnictwa Marynarki (od sierpnia 1917 roku), weszła do działań w styczniu 1918 roku, a w czerwcu odznaczyła się w bitwie nad Piawą, zrzucając 175 bomb. W bitwie tej brały udział też inne eskadry. Model PD został szybko zastąpiony w jednostkach przez PE i skierowany głównie do szkolenia.",Jaki model zastąpił Pomilio PC?,"{'text': ['Pomilio PD'], 'answer_start': [9]}",1,1,1,,,Reach Out Worldwide,Udziałowcem jakiej organizacji był Roger Rodas?,Roger Rodas był założycielem i dyrektorem generalnym firmy odzieżowej Rodas.,1-0-1,Członkiem której instytucji był Roger Rodas?,Roger Rodas był członkiem Izby Reprezentantów Stanów Zjednoczonych.,1-0-1,Udziałowcem jakiej organizacjii był Roger Rodas?,Roger Rodas był założycielem i dyrektorem generalnym firmy odzieżowej Rodas.,1-0-1,Roger Rodas – z jaką organizacją był związany jako udziałowiec?,Roger Rodas był udziałowcem w firmie Virgin Group.,1-0-1,Shareholder jakiej organization był Roger Rodas?,Roger Rodas był założycielem i dyrektorem generalnym firmy odzieżowej Rodas.,1-0-1
Pomilio PD/PE,"Na początku 1918 roku planowano, że Pomilio PD/PE miały być wyposażeniem tylko armijnych eskadr rozpoznawczych dalekiego zasięgu, a podstawowym włoskim samolotem rozpoznania taktycznego miał być Ansaldo SIA 7, lecz problemy wywołane przez słabą konstrukcję SIA 7B spowodowały zwiększenie zamówień na Pomilio, który w połowie 1918 roku stał się podstawowym włoskim samolotem rozpoznawczym. Pomilio zastępowały w tym czasie w części jednostek także samoloty SAML i SP.3. Przez cały okres służby, samoloty te używane były przez 29 eskadr. W chwili zawieszenia broni 17 eskadr było wyposażonych w całości w Pomilio PD/PE, a 5 częściowo. Głównie używane były na froncie włoskim, lecz 116. Eskadra operowała na Pomilio od maja 1918 roku w Albanii, a 111. Eskadra od września 1918 roku w Macedonii. Oprócz rozpoznania i okazjonalnego bombardowania, samoloty eskadr 118., 131. i 39. używane były do zrzucania zaopatrzenia dla żołnierzy włoskich, w tym odciętych za Piawą.",Czym według założeń z 1918 roku miały zajmować się Pomilio PD/PE?,"{'text': ['wyposażeniem tylko armijnych eskadr rozpoznawczych dalekiego zasięgu'], 'answer_start': [60]}",1,1,1,,,zginęli,Jakie były konsekwencje wypadku dla biorących w nim udział Walkera i Rodasa?,"W wyniku wypadku Walker został ranny, a rodak został ciężko ranny.",0-0-1,Jakie skutki miał wypadek dla uczestników – Walkera i Rodasa?,W wyniku wypadku Walker został ranny i zmarł na miejscu zdarzenia. Rodas został ranny w głowę i zmarł na miejscu zdarzenia.,1-1-1,Jakie były konsekwecje wypadku dla biorących w nim udzial Walkera i Rodasa?,"W wyniku wypadku Walker został ciężko ranny, a rodak został ciężko ranny.",0-0-1,Co się stało z Walkerem i Rodasem w wyniku wypadku?,"- Walker został ciężko ranny w wypadku, a jego ciało zostało znalezione w rzece. - Rodas został ranny w wypadku, a jego ciało zostało znalezione w rzece.",0-0-1,What były consequences wypadku dla Walkera i Rodasa?,"wypadku dla Walkera i Rodasa była śmierć ich żony, która została ciężko ranna.",0-0-1
Pomilio PD/PE,"Na początku 1918 roku planowano, że Pomilio PD/PE miały być wyposażeniem tylko armijnych eskadr rozpoznawczych dalekiego zasięgu, a podstawowym włoskim samolotem rozpoznania taktycznego miał być Ansaldo SIA 7, lecz problemy wywołane przez słabą konstrukcję SIA 7B spowodowały zwiększenie zamówień na Pomilio, który w połowie 1918 roku stał się podstawowym włoskim samolotem rozpoznawczym. Pomilio zastępowały w tym czasie w części jednostek także samoloty SAML i SP.3. Przez cały okres służby, samoloty te używane były przez 29 eskadr. W chwili zawieszenia broni 17 eskadr było wyposażonych w całości w Pomilio PD/PE, a 5 częściowo. Głównie używane były na froncie włoskim, lecz 116. Eskadra operowała na Pomilio od maja 1918 roku w Albanii, a 111. Eskadra od września 1918 roku w Macedonii. Oprócz rozpoznania i okazjonalnego bombardowania, samoloty eskadr 118., 131. i 39. używane były do zrzucania zaopatrzenia dla żołnierzy włoskich, w tym odciętych za Piawą.",Jaki samolot miał służyć za podstawę rozpoznania taktycznego w 1918 roku?,"{'text': ['Ansaldo SIA 7'], 'answer_start': [195]}",1,1,1,,,Porsche Carrerą GT,"Jakie auto prowadził Rodas, gdy doszło do tragicznego zdarzenia drogowego?",Chevrolet Aveo,1-0-1,"Jakim samochodem jechał Rodas, gdy wydarzył się tragiczny wypadek?",Camaro.,1-0-1,"Jakie auto prowadzil Rodas, gdy doszło do tragicznego zdarzenia drogowego?",Chevrolet Aveo,1-0-1,Jakie było auto kierowane przez Rodasa w chwili wypadku?,Brabham BT46,1-0-1,Jakie car prowadził Rodas when doszło do tragicznego zdarzenia?,Chevrolet Corvette,1-0-1
Pomilio PD/PE,"Na początku 1918 roku planowano, że Pomilio PD/PE miały być wyposażeniem tylko armijnych eskadr rozpoznawczych dalekiego zasięgu, a podstawowym włoskim samolotem rozpoznania taktycznego miał być Ansaldo SIA 7, lecz problemy wywołane przez słabą konstrukcję SIA 7B spowodowały zwiększenie zamówień na Pomilio, który w połowie 1918 roku stał się podstawowym włoskim samolotem rozpoznawczym. Pomilio zastępowały w tym czasie w części jednostek także samoloty SAML i SP.3. Przez cały okres służby, samoloty te używane były przez 29 eskadr. W chwili zawieszenia broni 17 eskadr było wyposażonych w całości w Pomilio PD/PE, a 5 częściowo. Głównie używane były na froncie włoskim, lecz 116. Eskadra operowała na Pomilio od maja 1918 roku w Albanii, a 111. Eskadra od września 1918 roku w Macedonii. Oprócz rozpoznania i okazjonalnego bombardowania, samoloty eskadr 118., 131. i 39. używane były do zrzucania zaopatrzenia dla żołnierzy włoskich, w tym odciętych za Piawą.",Dlaczego zrezygnowano z Ansaldo SIA 7 jako podstawowego samolotu rozpoznawczego?,"{'text': ['słabą konstrukcję'], 'answer_start': [239]}",1,1,1,,,nadmiernej prędkości,"Jaka była przyczyna wypadku, w którym uczestniczyli Walker i Rodas?",W wypadku uczestniczyli Walker i Rodas.,0-0-1,Co było powodem wypadku z udziałem Walkera i Rodasa?,"W wypadku zginęło sześć osób, w tym pilot i jego załoga.",1-0-1,"Jaka była przyczyna wypadkuu, w którym uczestniczyli Walker i Rodas?","Wypadek miał miejsce, gdy Walker uderzył w krawężnik, a Rodas uderzył w krawężnik.",0-0-1,Dlaczego doszło do wypadku z Walkerem i Rodasem?,W wyniku wypadku Walker i Rodgers zostali zmuszeni do opuszczenia trasy i wrócili do domu.,1-0-1,"What była przyczyna accidentu, w którym uczestniczyli Walker i Rodas?",Wypadek był spowodowany przez wypadek samochodowy.,0-0-1
